       ASCII-code

dec   hex    bin        char
  0     0    000000000    ''
  1     1    000000001    ''
  2     2    000000010    ''
  3     3    000000011    ''
  4     4    000000100    ''
  5     5    000000101    ''
  6     6    000000110    ''
  7     7    000000111    ''
  8     8    000001000    ''
  9     9    000001001    ''
 10     A    000001010    ''
 11     B    000001011    ''
 12     C    000001100    ''
 13     D    000001101    ''
 14     E    000001110    ''
 15     F    000001111    ''
 16    10    000010000    ''
 17    11    000010001    ''
 18    12    000010010    ''
 19    13    000010011    ''
 20    14    000010100    ''
 21    15    000010101    ''
 22    16    000010110    ''
 23    17    000010111    ''
 24    18    000011000    ''
 25    19    000011001    ''
 26    1A    000011010    ''
 27    1B    000011011    ''
 28    1C    000011100    ''
 29    1D    000011101    ''
 30    1E    000011110    ''
 31    1F    000011111    ''
 32    20    000100000    ' '
 33    21    000100001    '!'
 34    22    000100010    '"'
 35    23    000100011    '#'
 36    24    000100100    '$'
 37    25    000100101    '%'
 38    26    000100110    '&'
 39    27    000100111    '''
 40    28    000101000    '('
 41    29    000101001    ')'
 42    2A    000101010    '*'
 43    2B    000101011    '+'
 44    2C    000101100    ','
 45    2D    000101101    '-'
 46    2E    000101110    '.'
 47    2F    000101111    '/'
 48    30    000110000    '0'
 49    31    000110001    '1'
 50    32    000110010    '2'
 51    33    000110011    '3'
 52    34    000110100    '4'
 53    35    000110101    '5'
 54    36    000110110    '6'
 55    37    000110111    '7'
 56    38    000111000    '8'
 57    39    000111001    '9'
 58    3A    000111010    ':'
 59    3B    000111011    ';'
 60    3C    000111100    '<'
 61    3D    000111101    '='
 62    3E    000111110    '>'
 63    3F    000111111    '?'
 64    40    001000000    '@'
 65    41    001000001    'A'
 66    42    001000010    'B'
 67    43    001000011    'C'
 68    44    001000100    'D'
 69    45    001000101    'E'
 70    46    001000110    'F'
 71    47    001000111    'G'
 72    48    001001000    'H'
 73    49    001001001    'I'
 74    4A    001001010    'J'
 75    4B    001001011    'K'
 76    4C    001001100    'L'
 77    4D    001001101    'M'
 78    4E    001001110    'N'
 79    4F    001001111    'O'
 80    50    001010000    'P'
 81    51    001010001    'Q'
 82    52    001010010    'R'
 83    53    001010011    'S'
